publication_id,source_type,reference_label,title,doi,pmid,patent_number,related_patent_numbers,year,access_note,record_count
PUB000001,journal_article,B.Wang2016,Small-Activating RNA Can Change Nucleosome Positioning in Human Fibroblasts,10.1177/1087057116637562,26993320,,,2016,,13
PUB000002,journal_article,Li2006,Small dsRNAs induce transcriptional activation in human cells,10.1073/pnas.0607015103,17085592,,,2006,,17
PUB000003,journal_article,Huang2010,RNAa is conserved in mammalian cells,10.1371/journal.pone.0008848,20107511,,,2010,,43
PUB000004,journal_article,Yoon2016,Targeted Delivery of CEBP alpha saRNA by Pancreatic Ductal Adenocarcinoma-specific RNA Aptamers Inhibits Tumor Growth In Vivo,10.1038/mt.2016.60,26983359,,,2016,,2
PUB000005,journal_article,C.Li2016,Enhancing DPYSL3 gene expression via a promoter-targeted small activating RNA approach suppresses cancer cell motility and metastasis,10.18632/oncotarget.8290,27014974,,,2016,,143
PUB000006,journal_article,Wang2016,Targeted p53 activation by saRNA suppresses human bladder cancer cells growth and metastasis,10.1186/s13046-016-0329-8,27012825,,,2016,,7
PUB000007,journal_article,Portnoy2016,saRNA-guided Ago2 targets the RITA complex to promoters to stimulate transcription,10.1038/cr.2016.22,26902284,,,2016,,14
PUB000008,journal_article,Huan2016,C/EBP-alpha Short-Activating RNA Suppresses Metastasis of Hepatocellular Carcinoma through Inhibiting EGFR-beta Catenin Signaling Mediated EMT,10.1371/journal.pone.0153117,27050434,,,2016,,4
PUB000009,journal_article,Ge2016,Overexpression of p53 activated by small activating RNA suppresses the growth of human prostate cancer cells,10.2147/OTT.S96710,26811691,,,2016,,4
PUB000010,journal_article,C.Wang2015,Small activating RNA induces myogenic differentiation of rat adipose-derived stem cells by upregulating MyoD,10.1590/S1677-5538.IBJU.2014.0400,26401871,,,2015,,1
PUB000011,journal_article,Huang2015,siRNA induces gelsolin gene transcription activation in human esophageal cancer cell,10.1038/srep07901,25600697,,,2015,,14
PUB000012,journal_article,Zhao2015,Reactivation of HIC-1 gene by saRNA inhibits clonogenicity and invasiveness in breast cancer cells,10.3892/ol.2014.2633,25435951,,,2015,,4
PUB000013,journal_article,Zhang2014,The role of antisense long noncoding RNA in small RNA-triggered gene activation,10.1261/rna.043968.113,25344398,,,2014,,56
PUB000014,journal_article,Fan2014,Optimizations of siRNA design for the activation of gene transcription by targeting the TATA-box motif,10.1371/journal.pone.0108253,25250958,,,2014,,122
PUB000015,journal_article,Dong2014,Small double-stranded RNA mediates the anti-cancer effects of p21WAF1/ClP1 transcriptional activation in a human glioma cell line,10.3349/ymj.2014.55.2.324,24532499,,,2014,,2
PUB000016,journal_article,Zhao2014,Small activating RNA restores the activity of the tumor suppressor HIC-1 on breast cancer,10.1371/journal.pone.0086486,24489730,,,2014,,10
PUB000017,journal_article,Ren2013,Targeted induction of endogenous NKX3-1 by small activating RNA inhibits prostate tumor growth,10.1002/pros.22709,23836514,,,2013,,21
PUB000018,journal_article,Meng2016,Small activating RNA binds to the genomic target site in a seed-region-dependent manner,10.1093/nar/gkw076,26873922,,,2016,,76
PUB000019,journal_article,Hu2012,Promoter-associated small double-stranded RNA interacts with heterogeneous nuclear ribonucleoprotein A2/B1 to induce transcriptional activation,10.1042/BJ20120256,23035981,,,2012,,8
PUB000020,journal_article,Kosaka2012,Targeted p21WAF1/CIP1 activation by RNAa inhibits hepatocellular carcinoma cells,10.1089/nat.2012.0354,22909100,,,2012,,8
PUB000021,journal_article,Wang2012,Induction of NANOG expression by targeting promoter sequence with small activating RNA antagonizes retinoic acid-induced differentiation,10.1042/BJ20111491,22339500,,,2012,,19
PUB000022,journal_article,R.F.Place2012,Formulation of Small Activating RNA Into Lipidoid Nanoparticles Inhibits Xenograft Prostate Tumor Growth by Inducing p21 Expression,10.1038/mtna.2012.5,23343884,,,2012,,41
PUB000023,journal_article,Qin2012,RNAa-mediated overexpression of WT1 induces apoptosis in HepG2 cells,10.1186/1477-7819-10-11,22244202,,,2012,,2
PUB000024,journal_article,Place2012,Defining features and exploring chemical modifications to manipulate RNAa activity,10.2174/138920110791591463,20662764,,,2012,,23
PUB000025,journal_article,Harris2016,Design and Experimental Validation of Small Activating RNAs Targeting an Exogenous Promoter in Human Cells,10.1021/acssynbio.6b00125,28033709,,,2016,,31
PUB000026,journal_article,J.Wang2015,Inducing gene expression by targeting promoter sequences using small activating RNAs,10.14440/jbm.2015.39,25839046,,,2015,,3
PUB000027,journal_article,Wang2015,Identification of small activating RNAs that enhance endogenous OCT4 expression in human mesenchymal stem cells,10.1089/scd.2014.0290,25232932,,,2015,,28
PUB000028,journal_article,Chu2010,Involvement of argonaute proteins in gene silencing and activation by RNAs complementary to a non-coding transcript at the progesterone receptor promoter,10.1093/nar/gkq648,20675357,,,2010,,24
PUB000029,journal_article,Morris2008,Bidirectional transcription directs both transcriptional gene activation and suppression in human cells,10.1371/journal.pgen.1000258,19008947,,,2008,,2
PUB000030,journal_article,Chen2008,Antitumor effect of dsRNA-induced p21(WAF1/CIP1) gene activation in human bladder cancer cells,10.1158/1535-7163.MCT-07-2312,18347154,,,2008,,4
PUB000031,journal_article,Fimiani2016,RNA activation of haploinsufficient Foxg1 gene in murine neocortex,10.1038/srep39311,27995975,,,2016,,12
PUB000032,journal_article,H-L.Wu2016,Demystifying the mechanistic and functional aspects of p21 gene activation with double-stranded RNAs in human cancer cells,10.1186/s13046-016-0423-y,27639690,,,2016,,14
PUB000033,journal_article,Li2016,Small activating ribonucleic acid reverses tyrosine kinase inhibitor resistance in epidermal growth factor receptor-mutant lung cancer by increasing the expression of phosphatase and tensin homolog,10.1111/1759-7714.12356,27385992,,,2016,,7
PUB000034,journal_article,Matsui2013,Promoter RNA links transcriptional regulation of inflammatory pathway genes,10.1093/nar/gkt777,23999091,,,2013,,21
PUB000035,journal_article,Matsui2011,Activation of LDL receptor expression by small RNAs complementary to a noncoding transcript that overlaps the LDLR promoter,10.1016/j.chembiol.2010.10.009,21168770,,,2011,,40
PUB000036,journal_article,Wang2017,Specific up-regulation of p21 by a small active RNA sequence suppresses human colorectal cancer growth,10.18632/oncotarget.15918,28445988,,,2017,,7
PUB000037,journal_article,Janowsky2007,Activating gene expression in mammalian cells with promoter targeted duplex RNAs,10.1038/nchembio860,17259978,,,2007,"Paper is behind a paywall, so supplementary figures could not be reached",68
